epoch,train_loss,val_loss,lr,timestamp
1,0.064359,0.045976,1.000000e-03,2026-05-29T09:17:32
2,0.047901,0.045191,1.000000e-03,2026-05-29T09:18:14
3,0.047219,0.044681,1.000000e-03,2026-05-29T09:18:57
4,0.046845,0.045040,1.000000e-03,2026-05-29T09:19:38
5,0.046508,0.045458,1.000000e-03,2026-05-29T09:20:19
6,0.046120,0.045122,1.000000e-03,2026-05-29T09:21:06
7,0.046201,0.044602,1.000000e-03,2026-05-29T09:21:48
8,0.046032,0.044825,1.000000e-03,2026-05-29T09:22:28
9,0.045844,0.044947,1.000000e-03,2026-05-29T09:23:08
10,0.045771,0.045067,1.000000e-03,2026-05-29T09:23:48
11,0.045691,0.044486,1.000000e-03,2026-05-29T09:24:29
12,0.045468,0.044973,1.000000e-03,2026-05-29T09:25:10
13,0.045686,0.044825,1.000000e-03,2026-05-29T09:25:52
14,0.045552,0.044712,1.000000e-03,2026-05-29T09:26:32
15,0.045471,0.044214,1.000000e-03,2026-05-29T09:27:18
16,0.045402,0.044584,1.000000e-03,2026-05-29T09:28:01
17,0.045412,0.044313,1.000000e-03,2026-05-29T09:28:42
18,0.045358,0.045306,1.000000e-03,2026-05-29T09:29:23
19,0.045422,0.044195,1.000000e-03,2026-05-29T09:30:03
20,0.045257,0.044181,1.000000e-03,2026-05-29T09:30:44
21,0.045241,0.044121,1.000000e-03,2026-05-29T09:31:29
22,0.045194,0.044215,1.000000e-03,2026-05-29T09:32:09
23,0.045205,0.044093,1.000000e-03,2026-05-29T09:32:50
24,0.045158,0.043925,1.000000e-03,2026-05-29T09:33:31
25,0.045182,0.044101,1.000000e-03,2026-05-29T09:34:11
26,0.045218,0.043824,1.000000e-03,2026-05-29T09:34:51
27,0.045101,0.043782,1.000000e-03,2026-05-29T09:35:33
28,0.045048,0.043542,1.000000e-03,2026-05-29T09:36:13
29,0.045025,0.044094,1.000000e-03,2026-05-29T09:36:52
30,0.045030,0.043829,1.000000e-03,2026-05-29T09:37:35
31,0.045110,0.043923,1.000000e-03,2026-05-29T09:38:14
32,0.045162,0.043585,1.000000e-03,2026-05-29T09:38:55
33,0.045031,0.043557,1.000000e-03,2026-05-29T09:39:35
34,0.045030,0.043137,1.000000e-03,2026-05-29T09:40:16
35,0.044977,0.043662,1.000000e-03,2026-05-29T09:41:00
36,0.044954,0.043271,1.000000e-03,2026-05-29T09:41:40
37,0.044897,0.043043,1.000000e-03,2026-05-29T09:42:20
38,0.044967,0.043358,1.000000e-03,2026-05-29T09:43:02
39,0.044932,0.043638,1.000000e-03,2026-05-29T09:43:43
40,0.044853,0.043964,1.000000e-03,2026-05-29T09:44:23
41,0.044913,0.043129,1.000000e-03,2026-05-29T09:45:03
42,0.044861,0.044120,1.000000e-03,2026-05-29T09:45:44
43,0.045001,0.043414,5.000000e-04,2026-05-29T09:46:24
44,0.044661,0.043136,5.000000e-04,2026-05-29T09:47:04
45,0.044627,0.043112,5.000000e-04,2026-05-29T09:47:46
46,0.044602,0.043123,5.000000e-04,2026-05-29T09:48:28
47,0.044584,0.043156,5.000000e-04,2026-05-29T09:49:08
