axis,source_column,n_values,mean,std,sigma3_lower,sigma3_upper,n_beyond_3sigma,pct_beyond_3sigma,p99_threshold,n_beyond_p99,pct_beyond_p99
edge_flow,system_flow_rate,484656,1474.141789,519.585908,-84.615936,3032.899514,74,0.0153,2367.086743,4847,1.0001
edge_power,tb_system_real_power,486796,147.357515,60.889462,-35.310871,330.0259,146,0.03,291.277533,4868,1.0
edge_pump_speed,P_1531A_frequency,461993,40.820118,9.35514,12.754699,68.885536,18486,4.0014,58.0,4356,0.9429
edge_status,P_1531A_status,461425,0.959967,0.196035,0.371861,1.548074,18472,4.0033,1.0,0,0.0
node_demand,tb_system_predicted_flow_rate,481715,1489.399624,465.47597,92.971715,2885.827533,349,0.0724,2212.760818,4818,1.0002
node_level,tank_level,484805,4.575832,0.456706,3.205713,5.945951,1543,0.3183,5.23,4484,0.9249
node_pressure,system_pressure,487194,1.552662,0.232982,0.853716,2.251609,215,0.0441,1.93,3928,0.8062
node_status,tb_system_head,486334,18.172119,2.33593,11.164328,25.179909,201,0.0413,22.282068,4864,1.0001
